班号	课程类别	有效评估数	评估分数	教师职称	开课学院	学年	学期	平均成绩	教师编号
23831	全校共同课	20	96.1		国际学院	2014-2015	秋季学期	91.24	2038
23832	专业必修	38	98.28		中法学院	2014-2015	秋季学期	78.94	1937
23833	专业必修	27	96.67		中法学院	2014-2015	秋季学期	82.969696	1937
23834	全校共同课	32	96.74		中法学院	2014-2015	秋季学期	83.351351	1877
23835	全校共同课	17	78.38		国际学院	2014-2015	秋季学期	76.166666	2050
23836	全校共同课	17	76.75		国际学院	2014-2015	秋季学期	77.105263	2050
23837	全校共同课	17	93.25		中法学院	2014-2015	秋季学期	85.5	1929
23838	全校共同课	16	86.27		中法学院	2014-2015	秋季学期	81.157894	1929
23839	全校共同课	18	96.75		国际学院	2014-2015	秋季学期	80.9	2051
23840	全校共同课	18	99.96		中法学院	2014-2015	秋季学期	80.9	1877
23841	全校共同课	19	97.2		中法学院	2014-2015	秋季学期	82.05	1878
23842	全校共同课	19	96.96		国际学院	2014-2015	秋季学期	82.05	2052
23843	全校共同课	15	98.25		国际学院	2014-2015	秋季学期	83.157894	2053
23844	全校共同课	15	93.3		中法学院	2014-2015	秋季学期	83.157894	1878
23845	全校共同课	17	98.54		国际学院	2014-2015	秋季学期	85.736842	2054
23846	全校共同课	17	98.37		国际学院	2014-2015	秋季学期	85.736842	2053
23847	全校共同课	15	98.3		中法学院	2014-2015	秋季学期	79.611111	1877
23848	全校共同课	15	98.3		国际学院	2014-2015	秋季学期	79.611111	2055
23849	全校共同课	17	98.81		中法学院	2014-2015	秋季学期	77.333333	1879
23850	全校共同课	17	98.81		国际学院	2014-2015	秋季学期	77.333333	2056
23851	全校共同课	19	97.24		国际学院	2014-2015	秋季学期	81.68421	2051
23852	全校共同课	18	98.88		国际学院	2014-2015	秋季学期	81.68421	2052
23853	全校共同课	17	98.32		国际学院	2014-2015	秋季学期	79.65	2052
23854	全校共同课	17	98.59		国际学院	2014-2015	秋季学期	79.65	1962
23855	全校共同课	17	98.1		国际学院	2014-2015	秋季学期	87.894736	1962
23856	全校共同课	17	96.96		国际学院	2014-2015	秋季学期	87.894736	2054
23857	全校共同课	17	99.87		中法学院	2014-2015	秋季学期	78.526315	1878
23858	全校共同课	17	98.24		国际学院	2014-2015	秋季学期	78.526315	2051
